,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Guilin,25.2819,110.2864,44.71,59,33,4.74,CN,scattered clouds
80,Chimbote,-9.0853,-78.5783,71.4,72,82,9.95,PE,broken clouds
81,Kontagora,10.3999,5.4695,87.91,16,98,3.53,NG,overcast clouds
82,Cape Town,-33.9258,18.4232,67.08,58,20,25.32,ZA,few clouds
83,Mar Del Plata,-38.0023,-57.5575,64.42,81,0,13.0,AR,clear sky
84,Mount Isa,-20.7333,139.5,80.37,19,1,6.91,AU,light rain
85,Chase,50.8165,-119.6857,63.48,79,100,9.62,CA,overcast clouds
86,Fortuna,40.5982,-124.1573,47.32,100,1,10.36,US,clear sky
87,Yarada,17.65,83.2667,75.52,69,20,4.61,IN,haze
88,Sorland,67.667,12.6934,31.86,63,88,17.65,NO,overcast clouds
89,Kazachinskoye,57.6953,93.2761,21.79,86,100,6.49,RU,overcast clouds
90,Thompson,55.7435,-97.8558,-0.24,85,90,13.8,CA,light snow
91,Vila Franca Do Campo,37.7167,-25.4333,69.19,77,73,9.71,PT,broken clouds
92,Severo-Kurilsk,50.6789,156.125,43.2,94,100,36.48,RU,heavy intensity rain
93,Tasiilaq,65.6145,-37.6368,20.64,94,100,26.02,GL,snow
94,Yerkoy,39.6381,34.4672,41.18,54,66,8.88,TR,broken clouds
95,Bambous Virieux,-20.3428,57.7575,79.05,78,75,8.05,MU,light rain
96,Port Keats,-14.25,129.55,84.43,75,100,10.45,AU,overcast clouds
97,Dikson,73.5069,80.5464,-8.41,97,100,16.08,RU,overcast clouds
98,Calafell,41.2,1.5683,57.79,70,100,1.01,ES,overcast clouds
99,Klaksvik,62.2266,-6.589,31.12,70,100,33.49,FO,light snow
100,Mananjary,-21.2167,48.3333,77.45,83,59,9.04,MG,broken clouds
101,Kavieng,-2.5744,150.7967,82.02,72,36,7.99,PG,scattered clouds
102,Qui Nhon,13.7667,109.2333,72.63,78,83,18.41,VN,broken clouds
103,Nikolskoye,59.7035,30.7861,19.29,92,76,5.75,RU,broken clouds
104,Sao Filipe,14.8961,-24.4956,75.06,66,100,12.59,CV,overcast clouds
105,Kutahya,39.4242,29.9833,34.77,78,44,6.22,TR,scattered clouds
106,Ilhabela,-23.7781,-45.3581,77.94,77,52,5.26,BR,broken clouds
107,Maniitsoq,65.4167,-52.9,35.76,91,100,34.72,GL,light rain
108,Ryotsu,38.0833,138.4333,40.62,70,100,30.78,JP,light rain
109,Aklavik,68.2191,-135.0107,-23.8,69,90,5.75,CA,overcast clouds
110,Maarianhamina,60.0973,19.9348,21.06,86,20,1.14,AX,few clouds
111,Tuatapere,-46.1333,167.6833,49.82,93,5,2.26,NZ,clear sky
112,Airai,-8.9266,125.4092,61.86,88,98,1.16,TL,overcast clouds
113,Dunedin,-45.8742,170.5036,55.0,94,84,8.81,NZ,broken clouds
114,Chauk,20.8833,94.8167,70.23,77,26,4.97,MM,scattered clouds
115,Hithadhoo,-0.6,73.0833,82.15,72,100,2.26,MV,overcast clouds
116,Nha Trang,12.25,109.1833,77.0,85,88,12.21,VN,overcast clouds
117,Sotouboua,8.5667,0.9833,89.37,18,95,4.12,TG,overcast clouds
118,Bluff,-46.6,168.3333,49.8,91,11,3.47,NZ,few clouds
119,Broken Hill,-31.95,141.4333,74.91,43,45,12.66,AU,scattered clouds
120,Asau,46.4333,26.4,35.76,83,73,5.95,RO,broken clouds
121,Castro,-24.7911,-50.0119,83.59,33,0,3.85,BR,clear sky
122,Olinda,-8.0089,-34.8553,87.53,58,40,9.22,BR,scattered clouds
123,Jamestown,42.097,-79.2353,40.59,70,100,8.01,US,overcast clouds
124,Parati,-23.2178,-44.7131,94.1,85,50,4.38,BR,scattered clouds
125,Codrington,-38.2667,141.9667,54.91,96,1,1.68,AU,clear sky
126,Zeya,53.75,127.2667,4.89,72,96,2.68,RU,overcast clouds
127,Hambantota,6.1241,81.1185,77.65,81,5,5.59,LK,clear sky
128,Hasaki,35.7333,140.8333,50.4,48,19,14.7,JP,few clouds
129,Sokolo,14.7328,-6.1219,94.12,6,30,6.89,ML,scattered clouds
130,Sharan,54.8167,54.0,35.76,98,100,13.0,RU,overcast clouds
131,Mitu,1.1983,-70.1733,87.39,58,73,5.86,CO,broken clouds
132,Erenhot,43.6475,111.9767,22.6,58,5,15.82,CN,clear sky
133,Mugur-Aksy,50.35,90.5,7.77,42,1,6.64,RU,clear sky
134,Carnarvon,-24.8667,113.6333,69.87,78,75,20.71,AU,broken clouds
135,Kristiinankaupunki,62.2743,21.376,21.76,75,26,4.41,FI,scattered clouds
136,Mehamn,71.0357,27.8492,33.71,69,75,24.16,NO,light snow
137,Borujerd,33.8973,48.7516,50.27,47,83,9.15,IR,broken clouds
138,Lebu,-37.6167,-73.65,59.85,64,100,6.13,CL,overcast clouds
139,Coquimbo,-29.9533,-71.3436,64.13,67,0,12.66,CL,clear sky
140,Oksfjord,70.2396,22.3479,31.12,76,100,31.07,NO,snow
141,Ocos,14.5094,-92.1933,91.31,60,1,3.24,GT,clear sky
142,Faanui,-16.4833,-151.75,80.91,76,100,21.5,PF,light rain
143,Dong Hoi,17.4833,106.6,67.01,70,99,11.86,VN,overcast clouds
144,Nabinagar,23.8917,90.9733,77.07,61,11,5.32,BD,few clouds
145,Avarua,-21.2078,-159.775,77.05,94,75,10.36,CK,light rain
146,Bondo,3.8146,23.6866,75.72,76,99,1.54,CD,overcast clouds
147,Sakakah,29.9697,40.2064,67.57,53,100,6.46,SA,overcast clouds
148,Cap-Aux-Meules,47.3821,-61.8597,32.05,64,75,13.8,CA,light shower snow
149,Yanam,16.7333,82.2167,81.0,68,1,5.41,IN,clear sky
150,San Quintin,30.4833,-115.95,68.76,53,0,2.33,MX,clear sky
151,Sillamae,59.3997,27.7547,26.15,77,100,11.92,EE,overcast clouds
152,Aswan,24.0934,32.907,78.1,27,0,18.41,EG,clear sky
153,Georgetown,5.4112,100.3354,80.89,92,20,1.99,MY,moderate rain
154,Kavaratti,10.5669,72.642,81.63,79,56,12.48,IN,broken clouds
155,Maues,-3.3836,-57.7186,92.48,51,92,1.03,BR,overcast clouds
156,Tevaitoa,-16.7833,-151.5,81.34,76,100,23.58,PF,overcast clouds
157,Okotoks,50.7289,-113.9828,41.09,68,91,1.01,CA,overcast clouds
158,Saskylakh,71.9167,114.0833,-33.38,99,100,1.52,RU,overcast clouds
159,Raudeberg,61.9875,5.1352,29.19,75,100,12.57,NO,overcast clouds
160,Chokurdakh,70.6333,147.9167,-22.41,100,97,7.78,RU,overcast clouds
161,Bengkulu,-3.8004,102.2655,74.91,87,65,3.62,ID,broken clouds
162,Luebo,-5.35,21.4167,71.64,96,95,2.1,CD,overcast clouds
163,Maryborough,-25.5333,152.7,73.11,98,10,4.59,AU,clear sky
164,Longyearbyen,78.2186,15.6401,4.84,72,20,3.44,SJ,few clouds
165,Palomares,17.15,-95.0667,74.12,80,97,8.1,MX,overcast clouds
166,Lokosovo,61.1333,74.8167,32.07,95,100,10.18,RU,overcast clouds
167,Port Alfred,-33.5906,26.891,69.6,83,61,21.21,ZA,broken clouds
168,Khandyga,62.6667,135.6,-33.81,97,21,2.15,RU,few clouds
169,Butaritari,3.0707,172.7902,81.18,76,80,9.51,KI,broken clouds
170,Cabo San Lucas,22.8909,-109.9124,81.52,64,11,1.01,MX,few clouds
171,Namibe,-15.1961,12.1522,71.49,75,47,6.26,AO,scattered clouds
172,Teya,60.3778,92.6267,12.88,95,100,4.72,RU,light snow
173,Zhicheng,30.2956,111.5047,45.93,40,2,2.53,CN,clear sky
174,Solnechnyy,50.7214,136.6319,10.99,88,100,21.74,RU,snow
175,Sidi Ali,36.0998,0.4206,55.09,77,1,12.48,DZ,clear sky
176,Saint-Francois,46.4154,3.9054,48.47,78,75,5.75,FR,broken clouds
177,Sumbawanga,-7.9667,31.6167,78.6,33,20,6.91,TZ,light rain
178,Chuy,-33.6971,-53.4616,69.87,51,54,10.71,UY,broken clouds
179,Camacha,33.0833,-16.3333,64.53,63,20,10.36,PT,few clouds
180,Dolores,-36.3132,-57.6792,72.48,35,100,13.18,AR,overcast clouds
181,Alofi,-19.0595,-169.9187,76.89,88,15,10.36,NU,moderate rain
182,Kipini,-2.5257,40.5262,82.69,78,96,10.65,KE,light rain
183,Omboue,-1.5746,9.2618,78.39,86,83,10.09,GA,moderate rain
184,Luderitz,-26.6481,15.1594,67.87,62,0,25.3,NA,clear sky
185,Soignies,50.579,4.0713,46.08,89,90,5.99,BE,overcast clouds
186,Merauke,-8.4667,140.3333,80.53,82,100,2.51,ID,moderate rain
187,Hobart,-42.8794,147.3294,61.02,82,90,4.61,AU,overcast clouds
188,Lasa,46.6166,10.7002,39.94,98,89,4.05,IT,overcast clouds
189,Biak,-0.9131,122.8766,77.36,79,100,1.52,ID,overcast clouds
190,Sitka,57.0531,-135.33,36.52,92,100,7.27,US,light rain
191,Pangnirtung,66.1451,-65.7125,15.8,86,90,10.36,CA,light snow
192,New Norfolk,-42.7826,147.0587,60.66,72,97,1.01,AU,overcast clouds
193,Kodiak,57.79,-152.4072,15.57,79,100,15.41,US,overcast clouds
194,Atambua,-9.1061,124.8925,75.72,83,87,1.86,ID,overcast clouds
195,Souillac,-20.5167,57.5167,79.18,78,75,8.05,MU,light rain
196,Portobelo,9.55,-79.65,77.86,89,100,12.21,PA,overcast clouds
197,Narrabri,-30.3167,149.7833,68.09,83,0,11.5,AU,clear sky
198,Ponta Delgada,37.7333,-25.6667,69.49,72,40,11.5,PT,scattered clouds
199,Tazovskiy,67.4667,78.7,-15.52,96,86,9.98,RU,overcast clouds
200,Qaqortoq,60.7167,-46.0333,33.62,96,93,34.65,GL,light rain
201,Shimanovsk,52.0,127.7,0.99,86,64,3.13,RU,broken clouds
202,Puerto Madryn,-42.7692,-65.0385,79.5,27,56,6.11,AR,broken clouds
203,Hanna,51.6334,-111.9018,42.44,85,100,8.99,CA,overcast clouds
204,Bezhta,42.1338,46.1283,34.59,98,100,6.89,RU,moderate rain
205,Srednekolymsk,67.45,153.6833,-27.76,100,96,6.6,RU,overcast clouds
206,Chapais,49.7834,-74.8492,11.98,84,100,11.83,CA,overcast clouds
207,Khatanga,71.9667,102.5,-30.59,99,99,3.89,RU,overcast clouds
208,Basoko,1.2391,23.616,76.91,81,98,2.82,CD,overcast clouds
209,Lata,40.1629,-8.3327,54.91,91,100,8.79,PT,overcast clouds
210,Hammerfest,70.6634,23.6821,30.65,74,75,27.63,NO,light shower snow
211,Ilulissat,69.2167,-51.1,35.04,97,100,6.31,GL,moderate rain
212,Victoria,22.2855,114.1577,64.38,41,43,1.01,HK,scattered clouds
213,Sangar,63.9242,127.4739,-22.31,94,95,3.83,RU,overcast clouds
214,Burnie,-41.0667,145.9167,57.74,88,13,7.78,AU,few clouds
215,Otane,-39.8833,176.6333,57.0,97,92,0.69,NZ,overcast clouds
216,Pafos,34.7667,32.4167,62.38,51,90,23.02,CY,overcast clouds
217,Svetlyy,54.675,20.1347,32.05,97,100,19.86,RU,light snow
218,Faya,18.3851,42.4509,59.11,32,0,2.48,SA,clear sky
219,Rio Gallegos,-51.6226,-69.2181,57.25,30,75,16.11,AR,broken clouds
220,Yeppoon,-23.1333,150.7333,73.18,86,0,2.84,AU,clear sky
221,San Juan,-31.5375,-68.5364,85.28,28,0,3.96,AR,clear sky
222,Kaitangata,-46.2817,169.8464,53.92,92,37,3.24,NZ,scattered clouds
223,Karratha,-20.7377,116.8463,86.52,33,6,15.01,AU,clear sky
224,Garden City,42.3256,-83.331,40.14,73,100,6.76,US,overcast clouds
225,Kemin,42.7846,75.6892,36.23,49,0,7.76,KG,clear sky
226,Valdivia,-39.8142,-73.2459,59.09,58,99,7.09,CL,light rain
227,Shirgaon,19.7,72.7,66.79,96,100,16.96,IN,heavy intensity rain
228,Raduzhnyy,62.0961,77.475,30.99,96,100,10.11,RU,overcast clouds
229,Loa Janan,-0.583,117.095,74.25,94,92,1.95,ID,overcast clouds
230,Lianzhou,24.7811,112.3825,44.55,69,47,3.49,CN,scattered clouds
