City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Bengkulu,ID,74.91,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
162,Luebo,CD,71.64,overcast clouds,-5.35,21.4167,
163,Maryborough,AU,73.11,clear sky,-25.5333,152.7,Blue Shades Motel
165,Palomares,MX,74.12,overcast clouds,17.15,-95.0667,Hotel Monarca
169,Butaritari,KI,81.18,broken clouds,3.0707,172.7902,Isles Sunset Lodge
170,Cabo San Lucas,MX,81.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
171,Namibe,AO,71.49,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
177,Sumbawanga,TZ,78.6,light rain,-7.9667,31.6167,Matamba II Guest House
180,Dolores,AR,72.48,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
181,Alofi,NU,76.89,moderate rain,-19.0595,-169.9187,Taloa Heights
182,Kipini,KE,82.69,light rain,-2.5257,40.5262,Delta Sea Mall
183,Omboue,GA,78.39,moderate rain,-1.5746,9.2618,Hotel Olako
186,Merauke,ID,80.53,moderate rain,-8.4667,140.3333,
189,Biak,ID,77.36,overcast clouds,-0.9131,122.8766,Penginapan Kim
194,Atambua,ID,75.72,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
195,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
196,Portobelo,PA,77.86,overcast clouds,9.55,-79.65,Scuba Portobelo
202,Puerto Madryn,AR,79.5,broken clouds,-42.7692,-65.0385,Hotel Tolosa
208,Basoko,CD,76.91,overcast clouds,1.2391,23.616,Jackyna Hotel
220,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
221,San Juan,AR,85.28,clear sky,-31.5375,-68.5364,Hotel Provincial
223,Karratha,AU,86.52,clear sky,-20.7377,116.8463,ibis Styles Karratha
229,Loa Janan,ID,74.25,overcast clouds,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
232,Miracema Do Tocantins,BR,87.26,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
234,Angoche,MZ,81.0,clear sky,-16.2325,39.9086,Guest House HESADA
235,Rio Grande,BR,73.51,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
239,Kota Tinggi,MY,84.29,overcast clouds,1.7381,103.8999,Canopy Tribe
240,Baracoa,CU,81.9,broken clouds,20.3467,-74.4958,Hostal Rio Miel
242,Wajir,KE,85.96,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
247,Lompoc,US,85.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
248,Agadez,NE,72.72,broken clouds,19.75,10.25,
249,Jaciara,BR,84.2,overcast clouds,-15.9653,-54.9683,Taba Hotel
254,Matara,LK,76.73,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
256,Maun,BW,73.36,thunderstorm,-19.9833,23.4167,Enviro Villa
258,Poya,NC,77.72,clear sky,-21.35,165.15,
259,East London,ZA,70.74,few clouds,-33.0153,27.9116,Tu Casa
260,Tabuan,PH,74.79,overcast clouds,9.5156,122.8506,Upper Datong Lake
261,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
268,Anapolis,BR,82.0,broken clouds,-16.3267,-48.9528,Hotel Anápolis
270,Vitoria Da Conquista,BR,80.91,broken clouds,-14.8661,-40.8394,Hotel Universo
274,Sibolga,ID,75.52,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
276,Vangaindrano,MG,74.71,light rain,-23.35,47.6,Hotel Fanilo
277,Acarau,BR,88.88,broken clouds,-2.8856,-40.12,castelo pizzaria
278,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
282,Santa Cruz,BO,86.05,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
283,Palora,EC,82.51,overcast clouds,-1.7,-77.9333,Rancho grande
289,Carutapera,BR,89.76,broken clouds,-1.195,-46.02,Lidera
295,Sola,VU,81.14,few clouds,-13.8833,167.55,Leumerus Bungalows
297,Quechultenango,MX,83.16,broken clouds,17.4167,-99.2167,Baños publicos y casa de hospedaje popolutla
298,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
299,Andros Town,BS,80.56,clear sky,24.7,-77.7667,Hanks place
301,Sao Miguel Do Araguaia,BR,80.55,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
303,Rawson,AR,74.82,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
304,Ambovombe,MG,75.79,clear sky,-25.1667,46.0833,RELAHARA
305,Banyuwangi,ID,75.36,overcast clouds,-8.2325,114.3576,Dannu's Homestay
307,San Martin,AR,77.54,clear sky,-33.081,-68.4681,Club El Pelícano
314,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
315,Kafue,ZM,85.19,few clouds,-15.7691,28.1814,Purview Lodges Ltd
318,Menongue,AO,73.26,overcast clouds,-14.6585,17.691,Ritz Lauca
330,Santa Rosa,PH,80.85,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
331,San Rafael Del Sur,NI,86.97,broken clouds,11.8485,-86.4384,Hospedaje El Chino
332,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
336,Bubaque,GW,82.35,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
339,Cruzilia,BR,79.39,scattered clouds,-21.8386,-44.8083,Pousada Cruzília
341,Diego De Almagro,CL,82.6,clear sky,-26.3667,-70.05,hotel luna del desierto
342,Katherine,AU,86.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
343,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
348,Port-Gentil,GA,78.76,thunderstorm,-0.7193,8.7815,Fengshui Residence
353,Vieques,PR,89.67,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
354,Sao Felix Do Xingu,BR,88.84,light rain,-6.6447,-51.995,Rio Xingu Camping
357,San Patricio,US,78.08,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
361,Sabang,ID,81.68,scattered clouds,5.8933,95.3214,Hotel Citra
